Middlesbrough, 1-3, West Ham United, 2017, 1, http://www.bbc.com/sport/football/38620043
Stoke City, 1-1, Manchester United, 2017, 1, http://www.bbc.com/sport/football/38620111
West Bromwich Albion, 2-0, Sunderland, 2017, 1, http://www.bbc.com/sport/football/38620042
Manchester City, 2-2, Tottenham Hotspur, 2017, 1, http://www.bbc.com/sport/football/38620041
Southampton, 3-0, Leicester City, 2017, 1, http://www.bbc.com/sport/football/38626831
Arsenal, 2-1, Burnley, 2017, 1, http://www.bbc.com/sport/football/38626832
Chelsea, 2-0, Hull City, 2017, 1, http://www.bbc.com/sport/football/38626732
Arsenal, 1-2, Watford, 2017, 1, http://www.bbc.com/sport/football/38727389
AFC Bournemouth, 0-2, Crystal Palace, 2017, 1, http://www.bbc.com/sport/football/38727464
Burnley, 1-0, Leicester City, 2017, 1, http://www.bbc.com/sport/football/38727457
Middlesbrough, 1-1, West Bromwich Albion, 2017, 1, http://www.bbc.com/sport/football/38727329
Sunderland, 0-0, Tottenham Hotspur, 2017, 1, http://www.bbc.com/sport/football/38727319
Swansea City, 2-1, Southampton, 2017, 1, http://www.bbc.com/sport/football/38727330
Liverpool, 1-1, Chelsea, 2017, 1, http://www.bbc.com/sport/football/38727326
West Ham United, 0-4, Manchester City, 2017, 2, http://www.bbc.com/sport/football/38740421
Manchester United, 0-0, Hull City, 2017, 2, http://www.bbc.com/sport/football/38740420
Stoke City, 1-1, Everton, 2017, 2, http://www.bbc.com/sport/football/38740422
Chelsea, 3-1, Arsenal, 2017, 2, http://www.bbc.com/sport/football/38779302
Crystal Palace, 0-4, Sunderland, 2017, 2, http://www.bbc.com/sport/football/38779236
Everton, 6-3, AFC Bournemouth, 2017, 2, http://www.bbc.com/sport/football/38779235
Hull City, 2-0, Liverpool, 2017, 2, http://www.bbc.com/sport/football/38779233
Southampton, 1-3, West Ham United, 2017, 2, http://www.bbc.com/sport/football/38779644
Watford, 2-1, Burnley, 2017, 2, http://www.bbc.com/sport/football/38779314
West Bromwich Albion, 1-0, Stoke City, 2017, 2, http://www.bbc.com/sport/football/38779287
Tottenham Hotspur, 1-0, Middlesbrough, 2017, 2, http://www.bbc.com/sport/football/38779238
Manchester City, 2-1, Swansea City, 2017, 2, http://www.bbc.com/sport/football/38786558
